Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAAC4211,Graduation Project,3
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BADB2301,Database For Small Business,7
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BADB2301,Database For Small Business,4
2017/2018-Semester 1,Business Studies,BAHR2101,Human Resources Management,BADB2301,Database For Small Business,6
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BADB2301,Database For Small Business,8
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,BADB2301,Database For Small Business,11
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,BADB2301,Database For Small Business,14
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BADB2301,Database For Small Business,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BADB2301,Database For Small Business,6
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BADB2301,Database For Small Business,4
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BADB2301,Database For Small Business,15
2017/2018-Semester 1,Business Studies,BAFI4212,Insurance: Theory & Practic,BAEB4200,Management Information System,23
2017/2018-Semester 1,Business Studies,BALW4115,Business Law,BAEB4200,Management Information System,25
2017/2018-Semester 1,Business Studies,BAMG4216,Strategic Management,BAEB4200,Management Information System,24
2017/2018-Semester 1,Business Studies,BAOM4109,Employees Relation,BAEB4200,Management Information System,25
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAEB4200,Management Information System,5
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAEB4200,Management Information System,5
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,BAEC1203,Principles Of Microeconomics,9
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAEC1203,Principles Of Microeconomics,3
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAEC1203,Principles Of Microeconomics,3
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAEC1203,Principles Of Microeconomics,11
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAEC1203,Principles Of Microeconomics,9
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAEC1203,Principles Of Microeconomics,8
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAEC1203,Principles Of Microeconomics,3
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,BAEC1203,Principles Of Microeconomics,27
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAEC1203,Principles Of Microeconomics,24
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAEC1203,Principles Of Microeconomics,25
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,BAEC1203,Principles Of Microeconomics,2
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAEC2204,Principles Of Macroeconomics,6
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAEC2204,Principles Of Macroeconomics,22
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAEC2204,Principles Of Macroeconomics,20
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAEC2204,Principles Of Macroeconomics,10
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAEC2204,Principles Of Macroeconomics,20
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAEC2204,Principles Of Macroeconomics,18
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAEC2204,Principles Of Macroeconomics,13
2017/2018-Semester 1,Business Studies,BADB2301,Database For Small Business,BAEC2204,Principles Of Macroeconomics,13
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAEC2204,Principles Of Macroeconomics,29
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAEC2204,Principles Of Macroeconomics,5
2017/2018-Semester 1,Business Studies,BAHR2101,Human Resources Management,BAEC2204,Principles Of Macroeconomics,17
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BAEC2204,Principles Of Macroeconomics,38
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,BAEC2204,Principles Of Macroeconomics,20
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,BAEC2204,Principles Of Macroeconomics,25
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAEC2204,Principles Of Macroeconomics,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAEC2204,Principles Of Macroeconomics,2
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAEC2204,Principles Of Macroeconomics,15
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAEC2204,Principles Of Macroeconomics,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAEC2204,Principles Of Macroeconomics,26
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAFI2109,Financial Management,41
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAFI2109,Financial Management,55
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAFI2109,Financial Management,14
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAFI2109,Financial Management,43
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAFI2109,Financial Management,6
2017/2018-Semester 1,Business Studies,BADB2301,Database For Small Business,BAFI2109,Financial Management,7
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,BAFI2109,Financial Management,3
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAFI2109,Financial Management,2
2017/2018-Semester 1,Business Studies,BAHR2101,Human Resources Management,BAFI2109,Financial Management,24
2017/2018-Semester 1,Business Studies,BAHR2102,Psychology At Work,BAFI2109,Financial Management,25
2017/2018-Semester 1,Business Studies,BAHR2203,Recruitment And Selection,BAFI2109,Financial Management,4
2017/2018-Semester 1,Business Studies,BAHR2204,Compensation And Benefits,BAFI2109,Financial Management,4
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAFI2109,Financial Management,1
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAFI2109,Financial Management,3
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAFI2109,Financial Management,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAFI2109,Financial Management,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAFI2109,Financial Management,4
